model_fp,FID
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0,144.17462958149636
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0,148.79182607103667
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0,149.3967903324322
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.25_0.01_0.5_64_0_48000_LeakyReLU_0.0,147.3169331280971
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.25_0.02_0.5_64_0_48000_LeakyReLU_0.0,155.01725367218822
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.25_0.01_0.5_64_0_48000_LeakyReLU_0.0,147.90059998140055
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.25_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.25_0.01_0.5_64_0_48000_LeakyReLU_0.0,150.43556195836888
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.25_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.25_0.01_0.5_64_0_48000_LeakyReLU_0.0,151.9216726127709
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.25_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.1_0.01_0.5_64_0_48000_LeakyReLU_0.0,163.78896496404556
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.1_0.02_0.5_64_0_48000_LeakyReLU_0.0,147.81873919558532
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.1_0.01_0.5_64_0_48000_LeakyReLU_0.0,151.27885661128374
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.1_0.02_0.5_64_0_48000_LeakyReLU_0.0,148.4726912590206
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.1_0.01_0.5_64_0_48000_LeakyReLU_0.0,153.69311448016566
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.1_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.1_0.01_0.5_64_0_48000_LeakyReLU_0.0,154.42525047605682
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.1_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0,154.2800367760874
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0,144.88208815500258
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0,161.50595722648276
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0,152.80475491150153
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0,150.9715258028194
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0,147.56926000440498
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0,158.98859640070626
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0,147.9317195010446
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.5_0.01_0.5_64_0_48000_Tanh_0.0,150.28372161867827
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.5_0.02_0.5_64_0_48000_Tanh_0.0,151.69789347375752
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.5_0.01_0.5_64_0_48000_Tanh_0.0,150.76012670347626
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.5_0.02_0.5_64_0_48000_Tanh_0.0,154.54202772788867
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.5_0.01_0.5_64_0_48000_Tanh_0.0,152.5762335855923
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.5_0.02_0.5_64_0_48000_Tanh_0.0,155.8436509161331
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.5_0.01_0.5_64_0_48000_Tanh_0.0,152.79597970567758
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.5_0.02_0.5_64_0_48000_Tanh_0.0,157.9060509603634
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.25_0.01_0.5_64_0_48000_Tanh_0.0,165.27774304870215
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.25_0.02_0.5_64_0_48000_Tanh_0.0,150.8570329494037
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.25_0.01_0.5_64_0_48000_Tanh_0.0,152.71318882768196
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.25_0.02_0.5_64_0_48000_Tanh_0.0,149.52682691844717
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.25_0.01_0.5_64_0_48000_Tanh_0.0,149.46960169389826
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.25_0.02_0.5_64_0_48000_Tanh_0.0,150.38255604302478
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.25_0.01_0.5_64_0_48000_Tanh_0.0,149.0569170983302
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.25_0.02_0.5_64_0_48000_Tanh_0.0,152.4698875998721
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.1_0.01_0.5_64_0_48000_Tanh_0.0,190.92079223796816
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.1_0.02_0.5_64_0_48000_Tanh_0.0,175.0222537622311
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.1_0.01_0.5_64_0_48000_Tanh_0.0,190.14876397566223
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.1_0.02_0.5_64_0_48000_Tanh_0.0,163.71373815901995
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.1_0.01_0.5_64_0_48000_Tanh_0.0,182.68509723997101
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.1_0.02_0.5_64_0_48000_Tanh_0.0,154.13965474466332
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.1_0.01_0.5_64_0_48000_Tanh_0.0,173.25315704825312
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.1_0.02_0.5_64_0_48000_Tanh_0.0,147.4817418741838
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.05_0.01_0.5_64_0_48000_Tanh_0.0,166.32390538180886
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.05_0.02_0.5_64_0_48000_Tanh_0.0,181.36786513185896
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.05_0.01_0.5_64_0_48000_Tanh_0.0,170.59754693716792
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.05_0.02_0.5_64_0_48000_Tanh_0.0,178.48053976384412
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.05_0.01_0.5_64_0_48000_Tanh_0.0,177.02260995315152
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.05_0.02_0.5_64_0_48000_Tanh_0.0,171.3308730724999
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.05_0.01_0.5_64_0_48000_Tanh_0.0,177.2460528570502
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.05_0.02_0.5_64_0_48000_Tanh_0.0,151.05836686011
